Date,Weekly hadith
1/1,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not Know'."
1/2,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not Know'."
1/3,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not Know'."
1/4,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not Know'."
1/5,"Narrated by 'Abdullah bin 'Amr: 
A man asked the Prophet ; ""What sort of deeds or (what qualities of) Islam are good?"" The Prophet replied; 'To feed (the poor) and greet those whom you know and those whom you do not Know'."
1/6,"Muslim; Book 20; Number 4519:
It has been narrated on the authority of Abu Huraira that the Messenger of Allah (may peace be upon him) said: Whoso obeys me obeys God; and whose disobeys me disobeys God. Whoso obeys my commander obeys me; and whoso disobeys my commander disobeys me."
1/7,"Muslim; Book 20; Number 4519:
It has been narrated on the authority of Abu Huraira that the Messenger of Allah (may peace be upon him) said: Whoso obeys me obeys God; and whose disobeys me disobeys God. Whoso obeys my commander obeys me; and whoso disobeys my commander disobeys me."
1/8,"Muslim; Book 20; Number 4519:
It has been narrated on the authority of Abu Huraira that the Messenger of Allah (may peace be upon him) said: Whoso obeys me obeys God; and whose disobeys me disobeys God. Whoso obeys my commander obeys me; and whoso disobeys my commander disobeys me."
1/9,"Muslim; Book 20; Number 4519:
It has been narrated on the authority of Abu Huraira that the Messenger of Allah (may peace be upon him) said: Whoso obeys me obeys God; and whose disobeys me disobeys God. Whoso obeys my commander obeys me; and whoso disobeys my commander disobeys me."
1/10,"Muslim; Book 20; Number 4519:
It has been narrated on the authority of Abu Huraira that the Messenger of Allah (may peace be upon him) said: Whoso obeys me obeys God; and whose disobeys me disobeys God. Whoso obeys my commander obeys me; and whoso disobeys my commander disobeys me."
1/11,"Muslim; Book 20; Number 4519:
It has been narrated on the authority of Abu Huraira that the Messenger of Allah (may peace be upon him) said: Whoso obeys me obeys God; and whose disobeys me disobeys God. Whoso obeys my commander obeys me; and whoso disobeys my commander disobeys me."
1/12,"Muslim; Book 20; Number 4519:
It has been narrated on the authority of Abu Huraira that the Messenger of Allah (may peace be upon him) said: Whoso obeys me obeys God; and whose disobeys me disobeys God. Whoso obeys my commander obeys me; and whoso disobeys my commander disobeys me."
1/13,"Muslim; Book 39; Number 6703 :
Abu Huraira reported Allah's Apostle (may peace be upon him) as saying: Allan; the Exalted and Glorious; will take in His grip the earth on the Day of Judgment and He would roll up the sky in His right hand and would say: I am the Lord; where are the sovereigns of the world?"
1/14,"Muslim; Book 39; Number 6703 :
Abu Huraira reported Allah's Apostle (may peace be upon him) as saying: Allan; the Exalted and Glorious; will take in His grip the earth on the Day of Judgment and He would roll up the sky in His right hand and would say: I am the Lord; where are the sovereigns of the world?"
1/15,"Muslim; Book 39; Number 6703 :
Abu Huraira reported Allah's Apostle (may peace be upon him) as saying: Allan; the Exalted and Glorious; will take in His grip the earth on the Day of Judgment and He would roll up the sky in His right hand and would say: I am the Lord; where are the sovereigns of the world?"
1/16,"Muslim; Book 39; Number 6703 :
Abu Huraira reported Allah's Apostle (may peace be upon him) as saying: Allan; the Exalted and Glorious; will take in His grip the earth on the Day of Judgment and He would roll up the sky in His right hand and would say: I am the Lord; where are the sovereigns of the world?"
1/17,"Muslim; Book 39; Number 6703 :
Abu Huraira reported Allah's Apostle (may peace be upon him) as saying: Allan; the Exalted and Glorious; will take in His grip the earth on the Day of Judgment and He would roll up the sky in His right hand and would say: I am the Lord; where are the sovereigns of the world?"
1/18,"Muslim; Book 39; Number 6703 :
Abu Huraira reported Allah's Apostle (may peace be upon him) as saying: Allan; the Exalted and Glorious; will take in His grip the earth on the Day of Judgment and He would roll up the sky in His right hand and would say: I am the Lord; where are the sovereigns of the world?"
1/19,"Muslim; Book 39; Number 6703 :
Abu Huraira reported Allah's Apostle (may peace be upon him) as saying: Allan; the Exalted and Glorious; will take in His grip the earth on the Day of Judgment and He would roll up the sky in His right hand and would say: I am the Lord; where are the sovereigns of the world?"
1/20,"Muslim; Book 39; Number 6740:
Anas b. Malik reported that Allah's Messenger (may peace be upon him) thus told him: When a non-believer does good he is made to taste its reward in this world. And so far as the believer is concerned; Allah stores (the reward) of his virtues for the Hereafter and provides him sustenance in accordance with his obedience to Him."
1/21,"Muslim; Book 39; Number 6740:
Anas b. Malik reported that Allah's Messenger (may peace be upon him) thus told him: When a non-believer does good he is made to taste its reward in this world. And so far as the believer is concerned; Allah stores (the reward) of his virtues for the Hereafter and provides him sustenance in accordance with his obedience to Him."
1/22,"Muslim; Book 39; Number 6740:
Anas b. Malik reported that Allah's Messenger (may peace be upon him) thus told him: When a non-believer does good he is made to taste its reward in this world. And so far as the believer is concerned; Allah stores (the reward) of his virtues for the Hereafter and provides him sustenance in accordance with his obedience to Him."
1/23,"Muslim; Book 39; Number 6740:
Anas b. Malik reported that Allah's Messenger (may peace be upon him) thus told him: When a non-believer does good he is made to taste its reward in this world. And so far as the believer is concerned; Allah stores (the reward) of his virtues for the Hereafter and provides him sustenance in accordance with his obedience to Him."
1/24,"Muslim; Book 39; Number 6740:
Anas b. Malik reported that Allah's Messenger (may peace be upon him) thus told him: When a non-believer does good he is made to taste its reward in this world. And so far as the believer is concerned; Allah stores (the reward) of his virtues for the Hereafter and provides him sustenance in accordance with his obedience to Him."
1/25,"Muslim; Book 39; Number 6740:
Anas b. Malik reported that Allah's Messenger (may peace be upon him) thus told him: When a non-believer does good he is made to taste its reward in this world. And so far as the believer is concerned; Allah stores (the reward) of his virtues for the Hereafter and provides him sustenance in accordance with his obedience to Him."
1/26,"Muslim; Book 39; Number 6740:
Anas b. Malik reported that Allah's Messenger (may peace be upon him) thus told him: When a non-believer does good he is made to taste its reward in this world. And so far as the believer is concerned; Allah stores (the reward) of his virtues for the Hereafter and provides him sustenance in accordance with his obedience to Him."
1/27,"Muslim; Book 39; Number 6742:
Abu Huraira reported Allah's Messenger (may peace be upon him) as saying: The Similitude of a believer is that of (a standing) crop which the air continues to toss from one side to another; in the same way a believer always (receives the strokes) of misfortune. The similitude of a hypocrite is that of a cypress tree which does not move until it is uprooted."
1/28,"Muslim; Book 39; Number 6742:
Abu Huraira reported Allah's Messenger (may peace be upon him) as saying: The Similitude of a believer is that of (a standing) crop which the air continues to toss from one side to another; in the same way a believer always (receives the strokes) of misfortune. The similitude of a hypocrite is that of a cypress tree which does not move until it is uprooted."
1/29,"Muslim; Book 39; Number 6742:
Abu Huraira reported Allah's Messenger (may peace be upon him) as saying: The Similitude of a believer is that of (a standing) crop which the air continues to toss from one side to another; in the same way a believer always (receives the strokes) of misfortune. The similitude of a hypocrite is that of a cypress tree which does not move until it is uprooted."
1/30,"Muslim; Book 39; Number 6742:
Abu Huraira reported Allah's Messenger (may peace be upon him) as saying: The Similitude of a believer is that of (a standing) crop which the air continues to toss from one side to another; in the same way a believer always (receives the strokes) of misfortune. The similitude of a hypocrite is that of a cypress tree which does not move until it is uprooted."
1/31,"Muslim; Book 39; Number 6742:
Abu Huraira reported Allah's Messenger (may peace be upon him) as saying: The Similitude of a believer is that of (a standing) crop which the air continues to toss from one side to another; in the same way a believer always (receives the strokes) of misfortune. The similitude of a hypocrite is that of a cypress tree which does not move until it is uprooted."
2/1,"Muslim; Book 39; Number 6742:
Abu Huraira reported Allah's Messenger (may peace be upon him) as saying: The Similitude of a believer is that of (a standing) crop which the air continues to toss from one side to another; in the same way a believer always (receives the strokes) of misfortune. The similitude of a hypocrite is that of a cypress tree which does not move until it is uprooted."
2/2,"Muslim; Book 39; Number 6742:
Abu Huraira reported Allah's Messenger (may peace be upon him) as saying: The Similitude of a believer is that of (a standing) crop which the air continues to toss from one side to another; in the same way a believer always (receives the strokes) of misfortune. The similitude of a hypocrite is that of a cypress tree which does not move until it is uprooted."
2/3,"Muslim; Book 39; Number 6757:
Abdullah b. Mas'ud reported that Allah's Messenger (may peace be upon him) said: There is none amongst you with whom is not an attache from amongst the jinn (devil). They (the Companions) said: Allah's Messenger; with you too? Thereupon he said: Yes; but Allah helps me against him and so I am safe from his hand and he does not command me but for good. 
"
2/4,"Muslim; Book 39; Number 6757:
Abdullah b. Mas'ud reported that Allah's Messenger (may peace be upon him) said: There is none amongst you with whom is not an attache from amongst the jinn (devil). They (the Companions) said: Allah's Messenger; with you too? Thereupon he said: Yes; but Allah helps me against him and so I am safe from his hand and he does not command me but for good. 
"
2/5,"Muslim; Book 39; Number 6757:
Abdullah b. Mas'ud reported that Allah's Messenger (may peace be upon him) said: There is none amongst you with whom is not an attache from amongst the jinn (devil). They (the Companions) said: Allah's Messenger; with you too? Thereupon he said: Yes; but Allah helps me against him and so I am safe from his hand and he does not command me but for good. 
"
2/6,"Muslim; Book 39; Number 6757:
Abdullah b. Mas'ud reported that Allah's Messenger (may peace be upon him) said: There is none amongst you with whom is not an attache from amongst the jinn (devil). They (the Companions) said: Allah's Messenger; with you too? Thereupon he said: Yes; but Allah helps me against him and so I am safe from his hand and he does not command me but for good. 
"
2/7,"Muslim; Book 39; Number 6757:
Abdullah b. Mas'ud reported that Allah's Messenger (may peace be upon him) said: There is none amongst you with whom is not an attache from amongst the jinn (devil). They (the Companions) said: Allah's Messenger; with you too? Thereupon he said: Yes; but Allah helps me against him and so I am safe from his hand and he does not command me but for good. 
"
2/8,"Muslim; Book 39; Number 6757:
Abdullah b. Mas'ud reported that Allah's Messenger (may peace be upon him) said: There is none amongst you with whom is not an attache from amongst the jinn (devil). They (the Companions) said: Allah's Messenger; with you too? Thereupon he said: Yes; but Allah helps me against him and so I am safe from his hand and he does not command me but for good. 
"
2/9,"Muslim; Book 39; Number 6757:
Abdullah b. Mas'ud reported that Allah's Messenger (may peace be upon him) said: There is none amongst you with whom is not an attache from amongst the jinn (devil). They (the Companions) said: Allah's Messenger; with you too? Thereupon he said: Yes; but Allah helps me against him and so I am safe from his hand and he does not command me but for good. 
"
