Date,Iqamah_Fajr,Iqamah_Zuhr,Iqamah_Asr,Iqamah_Maghrib,Iqamah_Isha,Jumuah
1/1,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/2,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/3,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/4,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/5,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/6,6:15 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
1/7,6:15 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
1/8,6:15 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
1/9,6:15 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
1/10,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/11,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/12,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/13,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/14,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/15,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/16,6:15 AM,1:15 PM,3:45 PM,5:05 PM,6:45 PM,1:15 PM
1/17,6:15 AM,1:15 PM,3:45 PM,5:05 PM,6:45 PM,1:15 PM
1/18,6:15 AM,1:15 PM,3:45 PM,5:05 PM,6:45 PM,1:15 PM
1/19,6:15 AM,1:15 PM,3:45 PM,5:05 PM,6:45 PM,1:15 PM
1/20,6:15 AM,1:15 PM,3:45 PM,5:10 PM,7:00 PM,1:15 PM
1/21,6:15 AM,1:15 PM,3:45 PM,5:10 PM,7:00 PM,1:15 PM
1/22,6:15 AM,1:15 PM,3:45 PM,5:10 PM,7:00 PM,1:15 PM
1/23,6:15 AM,1:15 PM,3:45 PM,5:10 PM,7:00 PM,1:15 PM
1/24,6:15 AM,1:15 PM,3:45 PM,5:15 PM,7:00 PM,1:15 PM
1/25,6:15 AM,1:15 PM,3:45 PM,5:15 PM,7:00 PM,1:15 PM
1/26,6:15 AM,1:15 PM,3:45 PM,5:15 PM,7:00 PM,1:15 PM
1/27,6:15 AM,1:15 PM,3:45 PM,5:15 PM,7:00 PM,1:15 PM
1/28,6:15 AM,1:15 PM,3:45 PM,5:20 PM,7:00 PM,1:15 PM
1/29,6:15 AM,1:15 PM,3:45 PM,5:20 PM,7:00 PM,1:15 PM
1/30,6:15 AM,1:15 PM,3:45 PM,5:20 PM,7:00 PM,1:15 PM
1/31,6:15 AM,1:15 PM,3:45 PM,5:20 PM,7:00 PM,1:15 PM
2/1,6:15 AM,1:15 PM,4:00 PM,5:25 PM,7:00 PM,1:15 PM
2/2,6:15 AM,1:15 PM,4:00 PM,5:25 PM,7:00 PM,1:15 PM
2/3,6:15 AM,1:15 PM,4:00 PM,5:25 PM,7:00 PM,1:15 PM
2/4,6:15 AM,1:15 PM,4:00 PM,5:25 PM,7:00 PM,1:15 PM
2/5,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/6,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/7,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/8,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/9,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/10,6:00 AM,1:15 PM,4:00 PM,5:35 PM,7:15 PM,1:15 PM
2/11,6:00 AM,1:15 PM,4:00 PM,5:35 PM,7:15 PM,1:15 PM
2/12,6:00 AM,1:15 PM,4:00 PM,5:35 PM,7:15 PM,1:15 PM
2/13,6:00 AM,1:15 PM,4:00 PM,5:35 PM,7:15 PM,1:15 PM
2/14,6:00 AM,1:15 PM,4:15 PM,5:40 PM,7:15 PM,1:15 PM
2/15,6:00 AM,1:15 PM,4:15 PM,5:40 PM,7:15 PM,1:15 PM
2/16,6:00 AM,1:15 PM,4:15 PM,5:40 PM,7:15 PM,1:15 PM
2/17,6:00 AM,1:15 PM,4:15 PM,5:40 PM,7:15 PM,1:15 PM
2/18,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/19,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/20,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/21,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/22,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/23,5:45 AM,1:15 PM,4:30 PM,5:50 PM,7:30 PM,1:15 PM
2/24,5:45 AM,1:15 PM,4:30 PM,5:50 PM,7:30 PM,1:15 PM
2/25,5:45 AM,1:15 PM,4:30 PM,5:50 PM,7:30 PM,1:15 PM
2/26,5:45 AM,1:15 PM,4:30 PM,5:50 PM,7:30 PM,1:15 PM
2/27,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
2/28,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/1,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/2,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/3,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/4,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/5,5:30 AM,1:15 PM,4:30 PM,6:00 PM,7:30 PM,1:15 PM
3/6,5:30 AM,1:15 PM,4:30 PM,6:00 PM,7:30 PM,1:15 PM
3/7,5:30 AM,1:15 PM,4:30 PM,6:00 PM,7:30 PM,1:15 PM
3/8,5:30 AM,1:15 PM,4:30 PM,6:00 PM,7:30 PM,1:15 PM
3/9,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/10,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/11,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/12,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/13,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/14,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/15,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/16,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/17,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/18,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/19,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/20,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/21,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/22,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/23,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/24,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/25,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/26,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/27,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/28,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/29,6:00 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
3/30,6:00 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
3/31,6:00 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
4/1,6:00 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
4/2,5:15 AM,1:15 PM,6:00 PM,7:30 PM,9:10 PM,1:15 PM
