Date,Iqamah_Fajr,Iqamah_Zuhr,Iqamah_Asr,Iqamah_Maghrib,Iqamah_Isha,Jumuah
1/1/2022,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/2/2022,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/3/2022,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/4/2022,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/5/2022,6:15 AM,1:15 PM,3:45 PM,4:50 PM,6:45 PM,1:15 PM
1/6/2022,6:15 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
1/7/2022,6:15 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
1/8/2022,6:15 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
1/9/2022,6:15 AM,1:15 PM,3:45 PM,4:55 PM,6:45 PM,1:15 PM
1/10/2022,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/11/2022,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/12/2022,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/13/2022,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/14/2022,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/15/2022,6:15 AM,1:15 PM,3:45 PM,5:00 PM,6:45 PM,1:15 PM
1/16/2022,6:15 AM,1:15 PM,3:45 PM,5:05 PM,6:45 PM,1:15 PM
1/17/2022,6:15 AM,1:15 PM,3:45 PM,5:05 PM,6:45 PM,1:15 PM
1/18/2022,6:15 AM,1:15 PM,3:45 PM,5:05 PM,6:45 PM,1:15 PM
1/19/2022,6:15 AM,1:15 PM,3:45 PM,5:05 PM,6:45 PM,1:15 PM
1/20/2022,6:15 AM,1:15 PM,3:45 PM,5:10 PM,7:00 PM,1:15 PM
1/21/2022,6:15 AM,1:15 PM,3:45 PM,5:10 PM,7:00 PM,1:15 PM
1/22/2022,6:15 AM,1:15 PM,3:45 PM,5:10 PM,7:00 PM,1:15 PM
1/23/2022,6:15 AM,1:15 PM,3:45 PM,5:10 PM,7:00 PM,1:15 PM
1/24/2022,6:15 AM,1:15 PM,3:45 PM,5:15 PM,7:00 PM,1:15 PM
1/25/2022,6:15 AM,1:15 PM,3:45 PM,5:15 PM,7:00 PM,1:15 PM
1/26/2022,6:15 AM,1:15 PM,3:45 PM,5:15 PM,7:00 PM,1:15 PM
1/27/2022,6:15 AM,1:15 PM,3:45 PM,5:15 PM,7:00 PM,1:15 PM
1/28/2022,6:15 AM,1:15 PM,3:45 PM,5:20 PM,7:00 PM,1:15 PM
1/29/2022,6:15 AM,1:15 PM,3:45 PM,5:20 PM,7:00 PM,1:15 PM
1/30/2022,6:15 AM,1:15 PM,3:45 PM,5:20 PM,7:00 PM,1:15 PM
1/31/2022,6:15 AM,1:15 PM,3:45 PM,5:20 PM,7:00 PM,1:15 PM
2/1/2022,6:15 AM,1:15 PM,4:00 PM,5:25 PM,7:00 PM,1:15 PM
2/2/2022,6:15 AM,1:15 PM,4:00 PM,5:25 PM,7:00 PM,1:15 PM
2/3/2022,6:15 AM,1:15 PM,4:00 PM,5:25 PM,7:00 PM,1:15 PM
2/4/2022,6:15 AM,1:15 PM,4:00 PM,5:25 PM,7:00 PM,1:15 PM
2/5/2022,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/6/2022,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/7/2022,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/8/2022,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/9/2022,6:15 AM,1:15 PM,4:00 PM,5:30 PM,7:15 PM,1:15 PM
2/10/2022,6:00 AM,1:15 PM,4:00 PM,5:35 PM,7:15 PM,1:15 PM
2/11/2022,6:00 AM,1:15 PM,4:00 PM,5:35 PM,7:15 PM,1:15 PM
2/12/2022,6:00 AM,1:15 PM,4:00 PM,5:35 PM,7:15 PM,1:15 PM
2/13/2022,6:00 AM,1:15 PM,4:00 PM,5:35 PM,7:15 PM,1:15 PM
2/14/2022,6:00 AM,1:15 PM,4:15 PM,5:40 PM,7:15 PM,1:15 PM
2/15/2022,6:00 AM,1:15 PM,4:15 PM,5:40 PM,7:15 PM,1:15 PM
2/16/2022,6:00 AM,1:15 PM,4:15 PM,5:40 PM,7:15 PM,1:15 PM
2/17/2022,6:00 AM,1:15 PM,4:15 PM,5:40 PM,7:15 PM,1:15 PM
2/18/2022,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/19/2022,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/20/2022,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/21/2022,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/22/2022,5:45 AM,1:15 PM,4:15 PM,5:45 PM,7:30 PM,1:15 PM
2/23/2022,5:45 AM,1:15 PM,4:30 PM,5:50 PM,7:30 PM,1:15 PM
2/24/2022,5:45 AM,1:15 PM,4:30 PM,5:50 PM,7:30 PM,1:15 PM
2/25/2022,5:45 AM,1:15 PM,4:30 PM,5:50 PM,7:30 PM,1:15 PM
2/26/2022,5:45 AM,1:15 PM,4:30 PM,5:50 PM,7:30 PM,1:15 PM
2/27/2022,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
2/28/2022,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/1/2022,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/2/2022,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/3/2022,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/4/2022,5:45 AM,1:15 PM,4:30 PM,5:55 PM,7:30 PM,1:15 PM
3/5/2022,5:30 AM,1:15 PM,4:30 PM,6:00 PM,7:30 PM,1:15 PM
3/6/2022,5:30 AM,1:15 PM,4:30 PM,6:00 PM,7:30 PM,1:15 PM
3/7/2022,5:30 AM,1:15 PM,4:30 PM,6:00 PM,7:30 PM,1:15 PM
3/8/2022,5:30 AM,1:15 PM,4:30 PM,6:00 PM,7:30 PM,1:15 PM
3/9/2022,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/10/2022,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/11/2022,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/12/2022,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/13/2022,5:30 AM,1:15 PM,4:30 PM,6:05 PM,7:45 PM,1:15 PM
3/14/2022,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/15/2022,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/16/2022,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/17/2022,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/18/2022,6:15 AM,1:15 PM,5:30 PM,7:10 PM,8:45 PM,1:15 PM
3/19/2022,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/20/2022,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/21/2022,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/22/2022,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/23/2022,6:15 AM,1:15 PM,5:45 PM,7:15 PM,8:45 PM,1:15 PM
3/24/2022,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/25/2022,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/26/2022,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/27/2022,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/28/2022,6:00 AM,1:15 PM,5:45 PM,7:20 PM,9:00 PM,1:15 PM
3/29/2022,6:00 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
3/30/2022,6:00 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
3/31/2022,6:00 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
4/1/2022,6:00 AM,1:15 PM,5:45 PM,7:25 PM,9:00 PM,1:15 PM
4/2/2022,5:15 AM,1:15 PM,6:00 PM,7:30 PM,9:10 PM,1:15 PM
4/3/2022,5:15 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/4/2022,5:15 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/5/2022,5:15 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/6/2022,5:15 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/7/2022,5:15 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/8/2022,5:15 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/9/2022,5:15 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/10/2022,5:15 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/11/2022,5:15 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/12/2022,5:30 AM,1:15 PM,6:00 PM,sunset+10,9:10 PM,1:15 PM
4/13/2022,5:30 AM,1:15 PM,6:00 PM,sunset+10,9:15 PM,1:15 PM
4/14/2022,5:00 AM,1:15 PM,6:00 PM,sunset+10,9:20 PM,1:15 PM
4/15/2022,5:00 AM,1:15 PM,6:00 PM,sunset+10,9:20 PM,1:15 PM
4/16/2022,5:00 AM,1:15 PM,6:00 PM,sunset+10,9:20 PM,1:15 PM
4/17/2022,5:00 AM,1:15 PM,6:00 PM,sunset+10,9:20 PM,1:15 PM
4/18/2022,5:00 AM,1:15 PM,6:00 PM,sunset+10,9:20 PM,1:15 PM
4/19/2022,5:00 AM,1:15 PM,6:00 PM,sunset+10,9:20 PM,1:15 PM
4/20/2022,5:00 AM,1:15 PM,6:00 PM,sunset+10,9:20 PM,1:15 PM
4/21/2022,4:45 AM,1:15 PM,6:00 PM,sunset+10,9:30 PM,1:15 PM
4/22/2022,4:45 AM,1:15 PM,6:00 PM,sunset+10,9:30 PM,1:15 PM
4/23/2022,4:45 AM,1:15 PM,6:00 PM,sunset+10,9:30 PM,1:15 PM
4/24/2022,4:45 AM,1:15 PM,6:00 PM,sunset+10,9:30 PM,1:15 PM
4/25/2022,4:45 AM,1:15 PM,6:00 PM,sunset+10,9:30 PM,1:15 PM
4/26/2022,4:45 AM,1:15 PM,6:00 PM,sunset+10,9:30 PM,1:15 PM
4/27/2022,4:45 AM,1:15 PM,6:00 PM,sunset+10,9:30 PM,1:15 PM
4/28/2022,4:30 AM,1:15 PM,6:15 PM,sunset+10,9:45 PM,1:15 PM
4/29/2022,4:30 AM,1:15 PM,6:15 PM,sunset+10,9:45 PM,1:15 PM
4/30/2022,4:30 AM,1:15 PM,6:15 PM,sunset+10,9:45 PM,1:15 PM
5/1/2022,4:30 AM,1:15 PM,6:15 PM,sunset+10,9:45 PM,1:15 PM
5/2/2022,5:00 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
5/3/2022,5:00 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
5/4/2022,5:00 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
5/5/2022,5:00 AM,1:15 PM,6:15 PM,8:00 PM,9:45 PM,1:15 PM
